"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"","","","","464.0","","","932.0","","","497.0","","","731.0","","","766.0","","","975.0","","","666.0","","","554.0","","","914.0","","","467.0","",""
"CL = 0"," -> ","VM = 0","","2555.0","5.506465517241379","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 1"," -> ","VM = 1","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 2"," -> ","VM = 2","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 3"," -> ","VM = 3","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 4"," -> ","VM = 4","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 5"," -> ","VM = 5","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","0.0","0.0","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 6"," -> ","VM = 6","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","0.0","0.0","","0.0","0.0","","0.0","0.0",""
"CL = 7"," -> ","VM = 7","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","1262.0","2.2779783393501805","","0.0","0.0","","0.0","0.0",""
"CL = 8"," -> ","VM = 8","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","1262.0","2.2779783393501805","","2273.0","2.4868708971553612","","0.0","0.0",""
"CL = 9"," -> ","VM = 9","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","1262.0","2.2779783393501805","","2273.0","2.4868708971553612","","1468.0","3.143468950749465",""
"CL = 10"," -> ","VM = 7","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","2273.0","2.4868708971553612","","1468.0","3.143468950749465",""
"CL = 11"," -> ","VM = 8","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","2508.0","2.5723076923076924","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","1468.0","3.143468950749465",""
"CL = 12"," -> ","VM = 5","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","2101.0","2.8741450068399454","","2322.0","3.031331592689295","","3584.0","3.675897435897436","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","1468.0","3.143468950749465",""
"CL = 13"," -> ","VM = 3","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","4148.0","5.674418604651163","","2322.0","3.031331592689295","","3584.0","3.675897435897436","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","1468.0","3.143468950749465",""
"CL = 14"," -> ","VM = 4","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","3584.0","3.675897435897436","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","1468.0","3.143468950749465",""
"CL = 15"," -> ","VM = 9","","2555.0","5.506465517241379","","2930.0","3.143776824034335","","1835.0","3.6921529175050303","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","3584.0","3.675897435897436","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","3086.0","6.60813704496788",""
"CL = 16"," -> ","VM = 1","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","1835.0","3.6921529175050303","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","3584.0","3.675897435897436","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","3086.0","6.60813704496788",""
"CL = 17"," -> ","VM = 5","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","1835.0","3.6921529175050303","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","5529.0","5.67076923076923","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","3086.0","6.60813704496788",""
"CL = 18"," -> ","VM = 2","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","5529.0","5.67076923076923","","2508.0","3.765765765765766","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","3086.0","6.60813704496788",""
"CL = 19"," -> ","VM = 6","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","5529.0","5.67076923076923","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","3759.0","4.112691466083151","","3086.0","6.60813704496788",""
"CL = 20"," -> ","VM = 8","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","3632.0","4.741514360313316","","5529.0","5.67076923076923","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 21"," -> ","VM = 4","","2555.0","5.506465517241379","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","4747.0","6.197127937336814","","5529.0","5.67076923076923","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 22"," -> ","VM = 0","","5322.0","11.469827586206897","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","4747.0","6.197127937336814","","5529.0","5.67076923076923","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 23"," -> ","VM = 5","","5322.0","11.469827586206897","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","4148.0","5.674418604651163","","4747.0","6.197127937336814","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 24"," -> ","VM = 3","","5322.0","11.469827586206897","","5754.0","6.17381974248927","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","4747.0","6.197127937336814","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 25"," -> ","VM = 1","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","4747.0","6.197127937336814","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 26"," -> ","VM = 4","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","5876.0","6.428884026258205","","3086.0","6.60813704496788",""
"CL = 27"," -> ","VM = 8","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","7548.0","8.258205689277899","","3086.0","6.60813704496788",""
"CL = 28"," -> ","VM = 9","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","3997.0","7.214801444043322","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 29"," -> ","VM = 7","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","7634.0","7.82974358974359","","5179.0","7.776276276276277","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 30"," -> ","VM = 6","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","7634.0","7.82974358974359","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 31"," -> ","VM = 5","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","5783.0","7.911080711354309","","6589.0","8.601827676240209","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 32"," -> ","VM = 3","","5322.0","11.469827586206897","","7393.0","7.932403433476395","","4008.0","8.064386317907445","","7242.0","9.906976744186046","","6589.0","8.601827676240209","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 33"," -> ","VM = 1","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","4008.0","8.064386317907445","","7242.0","9.906976744186046","","6589.0","8.601827676240209","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 34"," -> ","VM = 2","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","7242.0","9.906976744186046","","6589.0","8.601827676240209","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","7548.0","8.258205689277899","","5077.0","10.87152034261242",""
"CL = 35"," -> ","VM = 8","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","7242.0","9.906976744186046","","6589.0","8.601827676240209","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","9265.0","10.13676148796499","","5077.0","10.87152034261242",""
"CL = 36"," -> ","VM = 4","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","7242.0","9.906976744186046","","9427.0","12.306788511749348","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","9265.0","10.13676148796499","","5077.0","10.87152034261242",""
"CL = 37"," -> ","VM = 3","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","9668.0","13.225718194254446","","9427.0","12.306788511749348","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","9265.0","10.13676148796499","","5077.0","10.87152034261242",""
"CL = 38"," -> ","VM = 8","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","9668.0","13.225718194254446","","9427.0","12.306788511749348","","10161.0","10.42153846153846","","6815.0","10.232732732732734","","5977.0","10.788808664259928","","11504.0","12.586433260393873","","5077.0","10.87152034261242",""
"CL = 39"," -> ","VM = 6","","5322.0","11.469827586206897","","10076.0","10.811158798283262","","5854.0","11.778672032193159","","9668.0","13.225718194254446","","9427.0","12.306788511749348","","10161.0","10.42153846153846","","9436.0","14.168168168168169","","5977.0","10.788808664259928","","11504.0","12.586433260393873","","5077.0","10.87152034261242",""
